CODE,PRODUCTO,Tiempo,TIPO_CARROCERIA,Edad_Cliente,COMBUSTIBLE,Revisiones,Potencia,TRANS,Mas_1_coche,FORMA_PAGO,km_anno,ESTADO_CIVIL,COSTE_VENTA,GENERO,QUEJA_CAC,Zona_Renta,OcupaciOn,Averia_grave,Campanna3,PROVINCIA,REV_Garantia,Campanna2,Campanna1,Grupo_Edad_Codificado
CLI3244,1,0,0,49,0,1,2.0,1,0,2,0,0,3242,2,1,1.0,1,2.0,1,32,0,0,0,3
CLI3245,1,0,0,69,0,1,2.0,1,0,2,0,0,4107,2,0,1.0,1,4.0,1,20,0,0,1,5
CLI3246,1,0,0,51,0,1,2.0,1,0,0,0,4,2662,2,0,1.0,1,4.0,0,16,0,0,0,4
CLI3247,1,0,0,57,0,1,2.0,1,0,2,0,4,3242,2,0,1.0,1,4.0,1,32,0,0,1,4
CLI3248,1,6,0,21,0,1,2.0,1,1,3,0,0,3994,2,1,1.0,1,4.0,1,41,0,0,0,1
CLI3249,1,0,0,38,0,1,2.0,1,0,2,0,0,3242,2,0,1.0,1,4.0,1,40,0,0,0,2
CLI3250,1,0,0,21,0,0,2.0,1,0,0,0,0,2662,2,0,1.0,1,4.0,0,7,0,0,1,1
CLI3251,1,0,0,65,0,1,2.0,1,0,2,0,0,2662,2,0,1.0,1,4.0,1,20,0,0,1,5
CLI3252,1,0,0,22,0,0,2.0,1,0,2,0,0,3242,2,0,1.0,1,4.0,1,32,0,0,0,1
CLI3253,1,0,0,38,0,0,2.0,1,0,0,0,0,2662,2,0,1.0,1,4.0,0,28,0,0,0,2
CLI3254,1,0,0,48,0,0,2.0,1,0,0,0,4,2662,1,0,1.0,1,4.0,0,52,0,0,0,3
CLI3255,1,0,0,40,0,1,2.0,1,0,2,0,3,4107,2,0,1.0,1,4.0,1,35,0,0,0,2
CLI3256,1,0,0,49,0,0,2.0,1,0,2,0,0,2662,1,0,1.0,1,4.0,1,32,0,0,1,3
CLI3257,1,0,0,46,0,0,2.0,1,0,2,0,4,4107,2,0,1.0,1,4.0,1,32,0,0,1,3
CLI3258,1,0,0,43,0,1,2.0,1,0,2,0,0,3242,1,0,1.0,1,4.0,1,8,0,0,0,3
CLI3259,1,0,0,47,0,1,2.0,1,0,2,0,0,4107,1,0,1.0,1,4.0,1,32,0,0,0,3
CLI3260,1,0,0,33,0,0,2.0,1,0,2,0,0,3426,1,0,1.0,1,4.0,1,28,0,0,0,2
CLI3261,1,0,0,27,0,1,2.0,1,0,2,0,4,3242,2,0,1.0,1,4.0,1,33,0,0,1,1
CLI3262,1,0,0,67,0,1,2.0,1,0,2,0,0,4107,2,0,1.0,1,4.0,1,8,0,0,1,5
CLI3263,1,0,0,55,0,1,2.0,1,0,2,0,0,4107,2,0,1.0,1,4.0,1,22,0,0,0,4
CLI3264,1,0,0,42,0,1,2.0,1,0,2,0,4,4107,2,0,1.0,1,4.0,1,32,0,0,0,3
CLI3265,1,0,0,38,0,0,2.0,1,0,3,0,0,2662,2,0,1.0,1,4.0,0,41,0,0,0,2
CLI3266,1,0,0,33,0,1,2.0,1,0,0,0,0,2662,2,0,1.0,1,4.0,0,8,0,0,0,2
CLI3267,1,0,0,31,0,1,2.0,1,0,0,0,0,2662,2,0,1.0,1,4.0,0,25,0,0,0,2
CLI3268,1,0,0,35,0,1,2.0,1,0,2,0,0,3242,2,0,1.0,1,4.0,1,33,0,0,0,2
CLI3269,1,8,0,27,0,1,2.0,1,1,2,0,2,6160,2,0,1.0,1,4.0,1,8,0,0,0,1
CLI3270,1,0,0,40,0,0,2.0,1,0,2,0,2,4107,2,0,1.0,0,4.0,1,33,0,0,1,2
CLI3271,1,0,0,68,0,0,2.0,1,0,2,0,4,4107,2,0,1.0,1,4.0,1,24,0,0,1,5
CLI3272,1,0,0,68,0,0,2.0,1,0,0,0,4,2662,1,0,1.0,1,4.0,0,8,0,0,0,5
CLI3273,1,0,0,64,0,1,2.0,1,0,3,0,0,2662,2,0,1.0,1,4.0,0,46,0,0,0,5
CLI3274,1,0,0,62,0,0,2.0,1,0,2,0,0,2662,1,1,1.0,1,2.0,1,0,0,0,1,5
CLI3275,1,0,0,61,0,0,2.0,1,0,0,0,0,2585,2,0,1.0,1,4.0,0,8,0,0,0,5
CLI3276,1,0,0,40,0,1,2.0,1,0,3,0,0,2662,1,0,1.0,1,4.0,0,8,0,0,0,2
CLI3277,1,0,0,59,0,1,2.0,1,0,2,0,0,3242,2,0,1.0,1,4.0,1,32,0,0,0,4
CLI3278,1,0,0,61,0,0,2.0,1,0,2,0,0,3242,2,0,1.0,1,4.0,1,19,0,0,0,5
CLI3279,1,0,0,38,0,1,2.0,1,0,3,0,0,2662,2,0,1.0,1,4.0,0,41,0,0,0,2
CLI3280,1,0,0,42,0,0,2.0,1,0,3,0,0,2662,2,0,1.0,1,4.0,0,51,0,0,0,3
CLI3281,1,0,0,40,0,0,2.0,1,0,0,0,0,2662,2,0,1.0,1,4.0,0,24,0,0,0,2
CLI3282,1,0,0,65,0,1,2.0,1,0,2,0,0,4107,2,1,1.0,1,4.0,1,32,0,0,0,5
CLI3283,1,0,0,55,0,1,2.0,1,0,2,0,0,4107,2,1,1.0,1,4.0,1,20,0,0,0,4
CLI3284,1,0,0,24,0,1,2.0,1,0,3,0,0,2585,2,0,1.0,1,4.0,0,45,0,0,1,1
CLI3285,1,0,0,33,0,1,2.0,1,0,3,0,4,2662,2,0,1.0,1,4.0,0,48,0,0,0,2
CLI3286,1,0,0,65,0,0,2.0,1,0,3,0,0,2662,2,0,1.0,1,4.0,0,39,0,0,0,5
CLI3287,1,0,0,70,0,1,2.0,1,0,0,0,0,2585,2,0,1.0,1,4.0,0,20,0,0,0,5
CLI3288,1,0,0,21,0,0,2.0,1,0,2,0,0,3242,2,0,1.0,1,4.0,1,26,0,0,0,1
CLI3289,1,0,0,67,0,1,2.0,1,0,2,0,0,3242,2,0,1.0,1,4.0,1,52,0,0,0,5
CLI3290,1,0,0,45,0,0,2.0,1,0,3,0,0,2662,1,0,1.0,1,4.0,0,0,0,0,0,3
CLI3291,1,0,0,71,0,1,2.0,1,0,0,0,2,2585,2,0,1.0,1,4.0,0,32,0,0,0,6
CLI3292,1,0,0,57,0,0,2.0,1,0,2,0,0,3242,2,0,1.0,1,4.0,1,37,0,0,0,4
CLI3293,1,0,0,21,0,1,2.0,1,0,2,0,0,3242,2,0,1.0,1,4.0,1,48,0,0,0,1
CLI3294,1,0,0,34,0,0,2.0,1,0,3,0,4,2662,2,0,1.0,1,4.0,0,16,0,0,1,2
CLI3295,1,6,0,34,0,1,2.0,1,1,0,0,0,3994,2,0,1.0,1,4.0,1,8,0,0,0,2
CLI3296,1,0,0,68,0,1,2.0,1,0,2,0,0,2662,2,0,1.0,1,4.0,1,32,0,0,1,5
CLI3297,1,0,0,64,0,0,2.0,1,0,2,0,0,3242,2,0,1.0,1,4.0,1,8,0,0,0,5
CLI3298,1,0,0,26,0,1,2.0,1,0,0,0,0,2662,2,0,1.0,1,4.0,0,4,0,0,0,1
CLI3299,1,0,0,30,0,1,2.0,1,0,0,0,0,2585,2,0,1.0,1,4.0,0,32,0,0,0,1
CLI3300,1,0,0,68,0,1,2.0,1,0,2,0,0,3242,2,0,1.0,1,4.0,1,8,0,0,1,5
CLI3301,1,0,0,23,0,1,2.0,1,0,0,0,4,2585,1,0,1.0,1,4.0,0,32,0,0,0,1
CLI3302,1,0,0,34,0,1,2.0,1,0,2,0,4,3242,1,0,1.0,1,4.0,1,36,0,0,1,2
CLI3303,1,0,0,50,0,0,2.0,1,0,0,0,0,2662,2,0,1.0,1,4.0,0,4,0,0,0,3
CLI3304,1,0,0,62,0,0,2.0,1,0,2,0,0,4107,2,0,1.0,1,4.0,1,45,0,0,0,5
CLI3305,1,0,0,69,0,1,2.0,1,0,2,0,0,2662,2,0,1.0,1,4.0,1,52,0,0,1,5
CLI3306,1,0,0,21,0,1,2.0,1,0,0,0,0,2662,1,1,1.0,1,4.0,0,8,0,0,0,1
CLI3307,1,0,0,66,0,0,2.0,1,0,2,0,0,3242,2,1,1.0,1,1.0,1,20,0,0,0,5
CLI3308,1,0,0,38,0,1,2.0,1,0,2,0,4,2662,1,0,1.0,1,4.0,1,1,0,0,1,2
CLI3309,1,0,0,71,0,1,2.0,1,0,2,0,0,3242,2,0,1.0,1,4.0,1,33,0,0,0,6
CLI3310,1,0,0,28,0,1,2.0,1,0,0,0,0,1750,2,0,1.0,1,4.0,0,48,0,0,0,1
CLI3311,1,0,0,28,0,1,2.0,1,0,3,0,0,2662,2,0,1.0,1,4.0,0,43,0,0,0,1
CLI3312,1,0,0,31,0,0,2.0,1,0,3,0,0,2662,2,0,1.0,1,4.0,0,52,0,0,0,2
